time,Tmp Husillo [C],Tmp Nozzle [C],Diametro X [mm],Diametro Y [mm],MARCHA,PARO,RPM
2015-20-7-10:11:32,23.9,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:33,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:35,23.9,24.1,1.79,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:36,23.9,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:38,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:39,24,24.1,1.79,1.74,TRUE,FALSE,3.219
2015-20-7-10:11:40,23.9,24.1,1.79,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:42,24,24.1,1.79,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:43,23.9,24.1,1.79,1.74,TRUE,FALSE,3.219
2015-20-7-10:11:45,24,24.1,1.79,1.74,TRUE,FALSE,3.219
2015-20-7-10:11:46,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:47,23.9,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:49,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:50,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:52,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:53,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:54,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:56,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:57,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:59,24,24.1,1.79,1.72,TRUE,FALSE,3.219
2015-20-7-10:12:0,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:12:1,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:12:3,24,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:12:4,24,24.1,1.78,1.72,TRUE,FALSE,3.219
